ingredient_type,yield,year,month,day,operations_commencing_year,num_processing_plants,farm_area,deidentified_location,temp_obs,cloudiness,wind_direction,dew_temp,pressure_sea_level,precipitation,wind_speed
0,36.5,2016,10,14,1958.0,8.0,2801.95448,9,18.3,0.0,200.0,13.9,1015.3,0.0,7.2
0,16.07,2016,3,6,0.0,0.0,1312.254875,4,3.9,0.0,50.0,-0.6,1022.6,-1.0,1.5
0,43.52,2016,6,15,1930.0,8.0,6382.529003,9,18.9,4.0,260.0,7.2,1018.0,0.0,7.2
0,1164.48,2016,6,19,1942.0,0.0,54436.977365,4,20.6,4.0,220.0,13.3,1027.1,0.0,3.1
2,2777.34,2016,12,26,0.0,0.0,6582.363356,1,5.0,4.0,170.0,2.2,997.0,0.0,9.3
0,166.075,2016,8,27,1933.0,0.0,16780.604375,3,28.3,2.0,50.0,17.2,1021.5,0.0,2.1
2,1128.7,2016,12,31,1902.0,0.0,4541.191543,3,-3.9,0.0,230.0,-7.8,1014.8,0.0,4.6
0,93.8,2016,2,12,1958.0,7.0,10552.758867,9,12.8,2.0,0.0,10.0,1022.6,0.0,0.0
2,732.422,2016,7,14,0.0,0.0,6582.363356,1,20.6,0.0,270.0,12.2,1008.1,0.0,7.2
0,9.23,2016,7,6,0.0,0.0,172.613774,4,26.1,2.0,360.0,23.9,1011.8,0.0,1.5
0,24.35,2016,8,22,1968.0,0.0,1184.884862,4,22.8,2.0,320.0,16.7,1013.6,0.0,3.1
0,14.1,2016,1,1,1953.0,0.0,4941.882182,3,0.0,0.0,280.0,-5.0,0.0,0.0,7.7
0,5.3,2016,12,26,1919.0,6.0,2708.029547,10,7.0,0.0,300.0,3.0,0.0,0.0,4.6
2,347.656,2016,4,30,0.0,0.0,5281.628453,1,6.1,6.0,60.0,0.0,1019.2,0.0,6.2
1,2.3222,2016,12,6,1975.0,0.0,6131.505097,3,-3.9,4.0,80.0,-4.4,1020.2,0.0,2.6
1,9.8702,2016,10,8,1946.0,0.0,15681.190273,3,14.4,0.0,350.0,13.3,1017.9,0.0,1.5
0,18.8075,2016,3,24,0.0,7.0,2802.976413,11,6.6,8.0,210.0,1.8,1012.0,0.0,4.0
0,2637.64,2016,10,31,0.0,0.0,24265.148764,6,21.1,0.0,90.0,8.3,1011.8,0.0,2.6
2,54.9,2016,7,27,0.0,0.0,11712.931531,13,24.4,2.0,0.0,23.3,1012.6,0.0,0.0
0,30.3,2016,11,8,1967.0,14.0,6181.022396,15,4.0,0.0,130.0,2.2,1003.2,0.0,3.1
0,211.505,2016,7,18,1980.0,0.0,5487.873113,12,30.6,0.0,110.0,23.9,1022.9,0.0,5.1
0,419.02,2016,2,18,0.0,0.0,35416.574563,1,3.3,0.0,140.0,-1.7,1008.4,0.0,7.7
0,84.0,2016,3,30,0.0,0.0,7796.326857,1,7.2,0.0,130.0,4.4,1010.1,-1.0,6.7
0,13.4,2016,11,3,1956.0,12.0,2937.035442,15,8.3,0.0,210.0,6.3,1017.8,0.0,6.2
0,14.0,2016,10,1,0.0,0.0,1943.252051,13,15.6,0.0,0.0,12.2,1018.9,0.0,0.0
2,42.7,2016,11,1,0.0,0.0,3831.412623,13,23.3,0.0,0.0,21.7,1015.5,0.0,1.5
1,10.9118,2016,11,2,1961.0,0.0,13051.756664,3,9.4,0.0,150.0,6.1,1023.0,0.0,4.1
0,427.48800000000006,2016,4,18,0.0,0.0,13375.523619,1,23.3,0.0,0.0,10.0,1023.7,0.0,2.6
2,145.70600000000005,2016,1,17,0.0,0.0,1453.839047,5,1.7,0.0,50.0,-6.1,1010.9,0.0,3.6
0,100.2,2016,5,18,1921.0,0.0,5936.5017,4,13.3,0.0,40.0,11.1,1019.9,0.0,3.6
0,2.32,2016,6,16,1948.0,0.0,151.338987,6,25.6,0.0,130.0,0.6,1008.7,0.0,4.1
0,81.305,2016,9,20,0.0,0.0,63138.179442,1,15.0,2.0,200.0,9.4,1019.2,0.0,1.5
0,1406.07,2016,11,12,1975.0,0.0,10833.140121,12,15.0,0.0,0.0,12.2,1016.6,0.0,0.0
1,30.5111,2016,8,29,0.0,0.0,2907.8639,5,23.3,0.0,200.0,18.3,1021.3,0.0,3.1
0,366.643,2016,11,21,1959.0,0.0,6800.4996,4,3.9,0.0,300.0,-7.8,1013.1,0.0,8.2
0,28.3,2016,8,27,1923.0,10.0,5456.471899,9,17.2,0.0,210.0,12.8,1015.0,0.0,1.5
0,3.7,2016,4,1,1976.0,7.0,705.040867,10,8.0,0.0,160.0,5.0,0.0,0.0,4.1
0,1.6,2016,2,11,1976.0,6.0,431.99895,10,2.0,0.0,310.0,0.0,0.0,0.0,2.6
0,127.912,2016,6,24,1968.0,0.0,2737.758507,12,34.4,4.0,100.0,21.1,1018.4,0.0,3.1
0,26.59,2016,12,30,0.0,0.0,1106.47473,4,6.1,0.0,290.0,-3.3,1007.8,0.0,3.1
0,169.22099999999998,2016,1,13,0.0,0.0,6491.690028,5,-3.3,0.0,290.0,-15.0,1015.4,0.0,3.6
0,62.125,2016,3,6,0.0,9.0,4703.028569,15,4.2,0.0,320.0,-0.7,1004.5,0.0,1.5
0,122.4,2016,1,9,0.0,0.0,6491.690028,5,4.4,0.0,80.0,1.1,1021.0,0.0,3.6
0,115.45,2016,5,13,0.0,5.0,1540.703352,8,25.6,6.0,130.0,16.1,1018.0,0.0,3.6
0,175.21200000000005,2016,9,14,0.0,0.0,12365.3893,1,10.0,2.0,360.0,5.6,1026.5,0.0,2.6
2,10.6498,2016,9,2,1903.0,0.0,5707.867417,3,17.2,4.0,320.0,13.9,1022.2,0.0,3.6
0,237.584,2016,7,25,0.0,0.0,18554.772966,1,23.9,0.0,280.0,16.1,1017.8,0.0,3.1
2,719.712,2016,7,27,0.0,0.0,14807.251752,5,31.7,0.0,360.0,17.2,1011.2,0.0,1.5
0,2.72,2016,6,15,0.0,0.0,20903.175,4,26.1,0.0,180.0,19.4,1010.4,0.0,4.6
0,56.437,2016,3,12,0.0,0.0,8099.933860999999,1,11.1,0.0,200.0,3.3,1017.1,0.0,3.1
0,525.571,2016,12,15,2003.0,0.0,5649.338527,12,20.0,0.0,240.0,18.3,0.0,0.0,3.1
1,137.394,2016,5,31,1923.0,0.0,10589.827164,3,20.0,0.0,190.0,12.2,1016.5,0.0,2.1
1,3.341,2016,1,8,0.0,0.0,11345.500166,13,9.4,0.0,190.0,8.3,1009.4,0.0,1.5
0,1497.72,2016,4,13,0.0,0.0,41103.817514,5,3.9,0.0,0.0,-5.0,1027.0,0.0,0.0
1,90.383,2016,11,1,1951.0,0.0,4562.280524,6,26.1,2.0,0.0,4.4,1009.8,0.0,2.6
0,53.0,2016,9,2,0.0,0.0,7796.326857,1,23.3,0.0,160.0,12.2,1021.3,0.0,5.1
0,233.79,2016,9,23,2004.0,0.0,3413.627832,4,28.9,2.0,130.0,17.8,1017.0,0.0,2.6
2,58.5142,2016,10,18,0.0,0.0,8686.4305,7,29.4,0.0,220.0,15.6,1012.6,0.0,3.1
0,235.574,2016,2,12,0.0,0.0,10757.052564,1,-10.0,8.0,270.0,-13.3,1025.2,0.0,3.1
0,222.38,2016,4,23,1968.0,0.0,9181.510587,6,21.7,0.0,0.0,5.6,1010.1,0.0,0.0
2,7.8125,2016,6,18,0.0,0.0,35416.574563,1,25.0,0.0,180.0,17.2,1018.1,0.0,5.1
2,515.374,2016,11,17,1967.0,0.0,5292.591007,3,7.2,0.0,310.0,5.6,1017.1,0.0,3.6
1,1937.85,2016,7,14,0.0,0.0,53614.414203,1,20.0,0.0,300.0,13.9,1012.3,-1.0,6.7
1,1659.74,2016,11,14,2006.0,0.0,16681.569777,6,16.1,2.0,110.0,6.1,1019.7,0.0,2.1
1,1643.0,2016,3,8,0.0,0.0,12911.380231,5,22.2,0.0,290.0,1.7,1018.1,0.0,3.1
1,928.628,2016,5,13,2016.0,0.0,2012.000271,12,20.6,2.0,0.0,17.8,1017.3,0.0,0.0
0,5.239,2016,6,28,1919.0,6.0,1691.020406,10,11.0,0.0,290.0,10.0,0.0,0.0,2.1
0,65.13,2016,4,23,1911.0,0.0,6447.4682,4,20.0,0.0,360.0,7.8,1012.5,0.0,7.7
0,82.9167,2016,6,5,0.0,5.0,3889.012483,8,25.0,2.0,130.0,22.8,1013.5,0.0,2.1
1,10.2844,2016,12,24,2008.0,0.0,25997.97552,3,0.6,0.0,160.0,-5.6,1028.0,0.0,3.6
0,26.5,2016,1,9,1956.0,0.0,3132.038839,6,13.3,4.0,40.0,3.3,1020.9,0.0,1.5
0,67.531,2016,12,22,0.0,8.0,3724.016755,15,8.1,0.0,220.0,3.8,1029.1,0.0,4.6
0,0.0,2016,12,12,1962.0,7.0,16999.948358,2,-5.6,0.0,70.0,-6.4,1008.5,5.0,4.1
2,250.0,2016,9,12,0.0,0.0,6929.077352,1,20.0,2.0,180.0,12.2,1012.7,0.0,4.6
0,136.785,2016,8,30,2004.0,0.0,252.69616,12,26.7,0.0,90.0,23.3,1012.2,-1.0,4.6
0,558.823,2016,8,13,0.0,0.0,18580.6,5,29.4,2.0,220.0,25.6,1013.0,0.0,4.6
1,42.94300000000001,2016,8,28,1925.0,0.0,1885.094773,3,30.6,0.0,190.0,21.1,1019.9,0.0,3.6
1,0.0,2016,7,22,0.0,0.0,7451.285115,1,27.2,6.0,0.0,20.0,1014.3,0.0,0.0
2,1300.87,2016,8,10,1967.0,0.0,11568.374463,3,31.1,0.0,270.0,21.7,1018.1,0.0,2.6
1,432.502,2016,9,10,0.0,0.0,19058.214323,13,31.7,2.0,0.0,21.7,1011.3,0.0,2.1
1,299.038,2016,10,5,0.0,0.0,8062.679758,13,27.2,0.0,0.0,20.6,1008.9,0.0,2.6
0,21.36,2016,8,21,0.0,0.0,1144.193348,4,31.1,0.0,210.0,23.3,1007.1,8.0,6.2
0,132.95,2016,2,12,1932.0,0.0,7404.3691,4,-5.0,0.0,0.0,-15.6,1026.6,0.0,1.5
0,69.6318,2016,12,16,1905.0,8.0,5234.433729,9,10.6,0.0,300.0,5.0,1007.8,0.0,9.8
3,400.0,2016,12,9,1906.0,13.0,13964.993154,15,11.1,0.0,200.0,9.1,1024.2,0.0,4.1
0,25.1344,2016,8,5,0.0,8.0,1320.987757,15,17.0,0.0,270.0,11.6,1023.4,0.0,5.1
0,13.847,2016,11,25,0.0,0.0,5255.429807,1,1.1,0.0,250.0,0.0,1024.8,-1.0,2.1
0,24.83,2016,8,18,0.0,0.0,465.722739,4,32.8,0.0,340.0,20.6,1016.1,0.0,5.1
0,210.1,2016,5,23,1930.0,0.0,15887.156224,3,23.9,2.0,20.0,6.7,1014.3,0.0,4.6
0,102.08,2016,7,18,0.0,0.0,1505.0286,4,30.6,6.0,170.0,24.4,1020.7,0.0,5.1
0,37.53,2016,12,27,0.0,0.0,3174.588413,6,6.1,2.0,0.0,2.2,1022.6,0.0,0.0
1,10.1634,2016,11,27,2007.0,0.0,2671.89028,3,2.2,0.0,270.0,1.1,1020.3,0.0,2.1
0,4771.0,2016,7,7,0.0,0.0,26718.345382,1,25.6,0.0,140.0,15.6,1008.8,0.0,2.6
0,0.0,2016,5,10,1968.0,0.0,2272.035768,12,30.6,4.0,150.0,12.8,1019.6,0.0,4.1
0,138.69,2016,3,6,1944.0,0.0,7785.2714,4,9.4,0.0,280.0,-3.3,1025.2,0.0,4.1
0,50.68,2016,1,10,1970.0,0.0,5782.096914,6,7.2,0.0,160.0,3.3,1020.9,0.0,3.1
3,2988.6,2016,4,30,1969.0,15.0,67999.886335,2,8.1,0.0,350.0,-6.9,1021.3,0.0,2.1
0,225.0,2016,3,3,0.0,0.0,7964.759996,1,-3.3,0.0,130.0,-10.0,1020.5,0.0,1.5
0,187.704,2016,11,4,2002.0,0.0,4935.93639,12,18.9,0.0,0.0,17.2,1018.7,0.0,0.0
1,0.0,2016,10,23,0.0,0.0,1899.308932,1,8.9,0.0,130.0,4.4,1011.8,0.0,3.1
0,31.0,2016,5,27,0.0,0.0,1491.278956,13,20.0,4.0,160.0,19.4,1005.8,3.0,2.6
0,64.0375,2016,5,21,0.0,0.0,2745.004941,11,12.3,7.0,260.0,9.8,1000.5,0.0,7.0
0,108.02,2016,8,4,1935.0,0.0,2906.284549,4,29.4,0.0,100.0,16.1,1020.0,0.0,3.6
0,522.893,2016,12,8,0.0,0.0,35416.574563,1,-5.0,8.0,320.0,-10.6,1030.1,-1.0,8.8
1,595.508,2016,4,30,0.0,0.0,12776.206366,13,22.8,0.0,290.0,22.2,1004.5,203.0,3.6
0,442.263,2016,8,4,0.0,0.0,17851.497256,1,29.4,2.0,180.0,21.7,1011.9,0.0,4.1
0,0.0,2016,1,28,2011.0,0.0,1553.895578,12,18.9,8.0,60.0,17.8,1014.4,10.0,2.6
0,16.11,2016,2,27,1987.0,0.0,14596.269039,6,21.1,0.0,230.0,-3.3,1015.0,0.0,2.1
0,28.25,2016,6,26,0.0,6.0,3895.701499,0,16.7,0.0,170.0,0.6,1017.6,0.0,3.6
0,4.3,2016,3,19,1919.0,6.0,1597.00257,10,6.0,0.0,60.0,2.0,0.0,0.0,7.2
0,373.92,2016,3,15,0.0,0.0,9587.5896,4,8.3,0.0,40.0,6.1,1010.3,0.0,3.1
1,0.0,2016,4,22,0.0,0.0,15101.289747,5,17.2,2.0,220.0,10.0,1014.9,0.0,2.1
0,178.328,2016,10,27,0.0,0.0,11403.471638,5,5.0,0.0,60.0,-2.2,1028.8,-1.0,2.6
0,1038.53,2016,6,3,0.0,9.0,14000.017585,2,19.0,0.0,240.0,15.6,1012.9,0.0,3.6
1,60.4547,2016,5,1,0.0,0.0,8005.172801,13,24.4,0.0,0.0,18.3,1007.5,0.0,1.5
0,126.667,2016,5,7,0.0,5.0,3275.109459,8,21.1,4.0,270.0,5.6,1011.3,0.0,3.6
0,69.95,2016,6,18,0.0,0.0,3972.067765,3,25.6,0.0,320.0,7.8,1023.5,0.0,3.6
0,131.384,2016,8,19,0.0,0.0,6014.818929,5,25.0,0.0,270.0,20.0,1013.8,0.0,2.6
0,7.55,2016,9,4,1930.0,7.0,2137.883836,9,15.6,0.0,210.0,11.1,1010.2,0.0,2.1
0,0.0,2016,3,4,0.0,0.0,18580.6,5,1.1,0.0,40.0,-3.3,1016.4,0.0,6.2
0,82.0,2016,3,12,0.0,0.0,8477.770362,13,22.2,0.0,190.0,12.2,1009.6,0.0,2.6
0,117.777,2016,5,29,0.0,0.0,5628.249546,5,29.4,0.0,240.0,17.2,1016.4,0.0,3.6
0,466.093,2016,6,16,1994.0,12.0,10181.053964,9,18.3,2.0,250.0,7.2,1019.3,0.0,1.5
0,43.2827,2016,2,8,0.0,0.0,2201.986906,5,2.8,0.0,20.0,-2.8,1007.4,0.0,3.1
0,39.929,2016,7,19,0.0,0.0,14150.241736,1,30.0,2.0,190.0,20.0,1019.0,0.0,5.1
0,373.019,2016,11,7,1969.0,0.0,6003.298957,12,25.6,0.0,50.0,11.7,1021.6,0.0,7.2
0,96.73,2016,7,3,0.0,0.0,9801.2665,4,18.3,8.0,180.0,15.0,1020.4,3.0,2.1
0,38.07,2016,3,31,1962.0,0.0,5564.8897,4,12.2,0.0,190.0,3.9,1021.2,0.0,6.2
0,12.73,2016,2,16,1966.0,5.0,815.038019,10,7.0,0.0,190.0,1.0,0.0,0.0,5.1
0,0.0,2016,4,18,2016.0,0.0,840.307635,12,17.2,2.0,360.0,13.9,1024.2,0.0,5.1
2,2589.84,2016,11,17,0.0,0.0,14241.936997,1,12.2,0.0,40.0,5.6,1003.8,0.0,8.2
0,7.08,2016,3,19,2005.0,0.0,1378.587617,4,7.8,8.0,60.0,0.0,1019.4,0.0,5.1
2,1107.15,2016,3,13,0.0,0.0,39822.592241,13,15.6,0.0,190.0,12.8,1009.9,0.0,1.5
0,143.0,2016,7,1,0.0,0.0,16509.606324,13,26.1,0.0,200.0,22.2,1014.3,0.0,1.5
2,1234.38,2016,4,2,0.0,0.0,3085.773145,1,1.1,2.0,280.0,-12.8,1012.0,0.0,7.2
0,30.85,2016,8,19,1963.0,8.0,3081.313801,9,18.9,2.0,300.0,14.4,1010.1,0.0,6.7
2,332.745,2016,8,21,0.0,0.0,3284.492662,5,28.3,0.0,160.0,19.4,1009.7,0.0,5.1
2,125.0,2016,5,1,0.0,0.0,6754.884227,1,13.9,6.0,360.0,2.8,1020.8,0.0,4.6
1,42.9828,2016,4,13,0.0,0.0,21437.088541,1,6.7,0.0,90.0,-4.4,1021.3,0.0,7.2
0,605.021,2016,7,4,2011.0,0.0,730.867901,12,33.9,0.0,0.0,23.3,1020.2,0.0,2.1
0,190.075,2016,4,14,1960.0,0.0,22299.135478,3,-1.1,0.0,320.0,-4.4,1028.8,0.0,1.5
0,32.32,2016,11,13,1964.0,0.0,7271.332004,6,28.9,4.0,0.0,3.3,1016.2,0.0,0.0
0,98.81,2016,9,2,0.0,0.0,7831.7229,6,38.3,4.0,210.0,15.6,1006.5,0.0,2.6
2,4957.55,2016,2,6,0.0,0.0,22068.736038,5,-2.2,0.0,240.0,-7.8,1027.8,0.0,1.5
